nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Plagiomnium undulatum;10;;;;Pittier, H. 10016;1921-12-26;VEN;;;Morales & García 2006
Helicodontium capillare;20;;;;;;;;;
Helicodontium capillare;;Sin localidad;;;;;;;;Churchill et al. 2000
Isodrepanium lentulum;;Sin localidad;;;Fendler 104;;;;;Pittier 1936
Isodrepanium lentulum;;Sin localidad;;;;;;;;Churchill et al. 2000
Isodrepanium lentulum;4;;;;;;;;;
Isodrepanium lentulum;15;;;;;;;;;
Isodrepanium lentulum;25;Entre San José de Los Altos y Topochalito;;;;;;;;
Isodrepanium lentulum;4;Rancho Grande;1300;;Mägdefrau, K. 347;1958-02-24;VEN;;;Morales & García 2006
Isodrepanium lentulum;4;Choroní;1600;;Mägdefrau, K. 474;1958-02-28;VEN;;;Morales & García 2006
Isodrepanium lentulum;5;Río Caura, arriba del Salto Pará, en las islas 2-3 Km arriba del campamento Las Pavas;250;300;Steyermark, J., G.C.K. & E. Dunsterville 113092;1977-01-14;VEN;;;Morales & García 2006
Isodrepanium lentulum;10;El Junquito;;;Medina, E. s/n;1973-10-12;VEN;;;Morales & García 2006
Isodrepanium lentulum;19;15 Km al E de Chabasquén, 67 Km al NNO de Guanare;1450;1520;Steyermark, J., Liesner, R. & Stergios, B. 126719;1982-10-29;VEN;;;Morales & García 2006
Isodrepanium lentulum;20;Península de Paria, Cerro de Río Arriba, vecindad de Los Positos, Río Santa Isabel, O de Cerro de Humo;700;;Steyermark, J. & Rabe, M. 96278;1966-08-10;VEN;;;Morales & García 2006
Isodrepanium lentulum;20;Península de Paria, Cerro de Humo, NO de Irapam entre Roma y Santa Isabel;1273;;Steyermark, J. 94933;1966-03-02;VEN;;;Morales & García 2006
Isodrepanium lentulum;25;Valle de Río Socuy, Gran Sabana;2400;2800;Griffin, D. 261;1975-07-07;VEN;;;Morales & García 2006
Isodrepanium lentulum;25;Entre el Campamento San José de los Altos y Topochalito;2200;2400;Griffin, D. 43, 119, 75;1975-07-07;VEN;;;Morales & García 2006
Neckera chilensis;15;Páramo de Mucubají, cerca de la Laguna de los Patos;;;Griffin et al. 953 ;;FLAS;;;Griffin III 1975
Neckera chilensis;;Sin localidad;;;;;;;;Churchill et al. 2000
Neckera chilensis;15;Páramo de La Negra ;;;Griffin et al. 2086 ;;FLAS;;;Griffin III 1975
Neckera chilensis;15;Laguna Negra;3600;;Mägdefrau, K. 1637;1967-04-18;VEN;;;Morales & García 2006
Neckera chilensis;15;;;;Vareschi, V. & Pamier. 981;1952-05-18;VEN;;;Morales & García 2006
Neckera chilensis;15;Sierra Santo Doming. Páramo de Mucubají, laguna de los Patos;3620;;Griffin, D., López, M. & Ruiz, L. 17464;1972-07-01;VEN;;;Morales & García 2006
Neckera ehrenbergii;10;;;;;;;;;
Neckera ehrenbergii;;Sin localidad;;;;;;;;Churchill et al. 2000
Neckera obtusifolia;22;;;;;;;;;
Neckera obtusifolia;;Sin localidad;;;;;;;;Churchill et al. 2000
Neckera scabridens;15;Unos 20 Km al NE de Mérida, posada Mucucharaní, quebrada La Culata;2450;;Griffin et al. 46;;FLAS;;;Griffin III 1977c
Neckera scabridens;;Sin localidad;;;;;;;;Churchill et al. 2000
