nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Leucobryum crispum;1;Río Aparaman, ca 3 Km SE of SSE Amaruay-tepui;500;;Liesner, R. & Holst, B. 20678;1986-05-08;VEN;;;Morales & García 2006
Leucobryum crispum;1;Río Negro. Cerro Aracamuni;1400;;Liesner, R. & Carnevali, G. 22653;1987-10-30;VEN;;;Morales & García 2006
Leucobryum crispum;1;Río Negro. Cerro Aracamuni;1400;;Liesner, R. & Carnevali, G. 22592;1987-10-28;VEN;;;Morales & García 2006
Leucobryum crispum;4;Choroní;1600;;Mägdefrau, K. 503;1958-02-28;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Guaiquinima, near W end of upper plateau;1500;;Sipman, H. 27144, 26857;1991-02-14;VEN;;;Morales & García 2006
Leucobryum crispum;5;Meseta del Jaua, cumbre del Cerro Sarisariñama, porción NE ;700;;Steyermark, J., Carreño, V. & Brewer, Ch. 109080;1974-02-12;VEN;;;Morales & García 2006
Leucobryum crispum;5;NE del Paují;830;900;Liesner, R. 19552;1985-11-05;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Guaiquinima, near NE edge of upper plateu ;1100;;Sipman, H. 2687, 26912;1990-02-09;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Venamo, Río Venamo;950;;Steyermark, J., G.C.K. & E. Dunsterville 92212;1963-12-27;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Venamo, Río Venamo;950;;Steyermark, J., G.C.K. & E. Dunsterville 92221;;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Guaiquinima, entre río Szczerbanari;750;840;Steyermark, J., G.C.K. & E. Dunsterville 113405;1977-01-23;VEN;;;Morales & García 2006
Leucobryum crispum;5;Quebrada de Jaspe, al S del Río Yuruaní;1200;;Steyermark, J., G.C.K. & E. Dunsterville 112354;1976-08-25;VEN;;;Morales & García 2006
Leucobryum crispum;5;Matacuchillo, Santa Elena;920;;Steyermark, J., G.C.K. & E. Dunsterville 112253;1976-08-23;VEN;;;Morales & García 2006
Leucobryum crispum;5;17 Km E of El Paují by road and 64 Km W of Santa Elena by road, 4 Km N of highway. Río Las Ahallas;850;;Liesner, R. 19034;1985-10-28;VEN;;;Morales & García 2006
Leucobryum crispum;5;18 Km E of El Paují by road and 64 Km W of Santa Elena by road, 4 Km N of highway. Río Las Ahallas;850;;Liesner, R. 19161;1985-10-30;VEN;;;Morales & García 2006
Leucobryum crispum;5;Meseta del Jaua, cumbre del Cerro Sarisariñama, porción NE;1410;;Steyermark, J., Carreño, V. & Brewer, Ch. 109007;1974-02-12;VEN;;;Morales & García 2006
Leucobryum crispum;5;Meseta del Jaua, cumbre del Cerro Sarisariñama, porción NE;1410;;Steyermark, J., Carreño, V. & Brewer, Ch. 108901;1974-02-10;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cercanías del campamento en el lado S del Río Ichún;500;;Steyermark, J. 90446;1961-12-30;VEN;;;Morales & García 2006
Leucobryum crispum;5;Meseta de Jaua, Cerro Jaua, Río Marajano;1850;1920;Steyermark, J., Carreño, V. & Brewer, Ch. 109779, 109785;1974-03-04;VEN;;;Morales & García 2006
Leucobryum crispum;5;Río Karuari, entre Kavanayén y Prari-tepui;;;Moore, H., Ambrose, J., Dietz, R. & Pfister, D. 9671;1970-08-11;VEN;;;Morales & García 2006
Leucobryum crispum;5;1-2 Km NE of El Paují, Río Cabass below Salto and adjacent forest slope;900;;Liesner, R. 19680;1985-11-07;VEN;;;Morales & García 2006
Leucobryum crispum;5;Río Aparamán, 1,5 Km S de SW de Amaruay-tepui;500;;Liesner, R. & Holst, B. 20194;1986-04-22;VEN;;;Morales & García 2006
Leucobryum crispum;5;"Gran Sabana; ca 10 Km SW of Karaurin tepui at junction Río Karaurin and Río Asadon";900;1000;Liesner, R. 23649;1988-04-22;VEN;;;Morales & García 2006
Leucobryum crispum;5;Cerro Venamo, Río Venamo;950;1400;Steyermark, J., G.C.K. & E. Dunsterville 92297;1963-12-28;VEN;;;Morales & García 2006
Leucobryum crispum;10;El Volcán, los Guayabitos;1350;;Mägdefrau, K. 51;1957-12-29;VEN;;;Morales & García 2006
Leucobryum crispum;14;Entre Cubiro y Escalera, 10-15 Km al SE de Cubiro ;1600;2000;Steyermark, J., Espinoza, V. & Nehlin, S 110181;1974-07-07;VEN;;;Morales & García 2006
Leucobryum crispum;12;Sierra de San Luis, entre Curimagua y San Luis;800;900;Steyermark, J. 99320;1967-07-20;VEN;;;Morales & García 2006
Leucobryum crispum;19;15 Km al E de Chabasquén, 67 Km al NNO de Guanare;1450;1520;Steyermark, J., Liesner, R. & Stergios, B. 126721;1982-10-29;VEN;;;Morales & García 2006
Leucobryum crispum;20;Península de Paria. Cerro Patao, al N de Puerto de Hierro, al NE de Guiria;800;825;Steyermark, J. & Agostini, G. 91110;1962-07-19;VEN;;;Morales & García 2006
Leucobryum crispum;22;Arriba de Escuque, entre Escuque y la Mesa de San Pedro;1300;1650;Steyermark, J. 104675;1971-02-20;VEN;;;Morales & García 2006
Leucobryum crispum;23;Montaña de María Lionza, Quebrada Quibayo;250;1000;Steyermark, J., Sobrevila, C., Fernández, D. & Hernández, B. 125130;;VEN;;;Morales & García 2006
Leucobryum crispum;25;Entre el Campamento San José de los Altos y Topochalito;2200;2400;Griffin, D. 65, 115;1975-07-07;VEN;;;Morales & García 2006
Leucobryum flavo-mucronatum;;Sin localidad;;;;;;;;Churchill et al. 2000
Leucobryum giganteum;;Sin localidad;;;Fendler 45;;;;;Pittier 1936
Leucobryum giganteum;;Sin localidad;;;;;;;;Churchill et al. 2000
Leucobryum giganteum;12;;;;;;;;;
Leucobryum giganteum;19;;;;;;;;;
Leucobryum giganteum;25;"Cuenca del Río Socuy y el bosque nublado llamado ""el páramo"" arriba de la ""gran sabana""";;;;;;;;
Leucobryum giganteum;1;Cerro Marahuaca;;;;;;;;
Leucobryum giganteum;1;Alto Orinoco, Cerro del Duida;2100;;H. H. Tate 507;;;;;Pittier 1936
Leucobryum giganteum;10;Galipán;1700;;Funk & Schlim 359;;;;;Pittier 1936
Leucobryum giganteum;7;Cumbre de Valencia;1700;;Funk & Schlim 618;;;;;Pittier 1936
Leucobryum giganteum;15;Quebrada Los Salichales tributaRío del Río Canaguá;;;;;;;;
Leucobryum giganteum;5;"Monte Roraima en la carac sudeste; Macizo de Jaua, Auyan-tepui; Roraima";;;;;;;;
Leucobryum giganteum;1;Al NO del Cerro de La Neblina;1830;;Buck, W. 10912;1984-02-17;VEN;;;Morales & García 2006
Leucobryum giganteum;1;Cumbre del Cerro Marahuaca;2480;2580;Guariglia, M., Holmgren, N., Luteyn, J., Mori, S & Steyermark, J. 1539;1982-01-31;VEN;;;Morales & García 2006
Leucobryum giganteum;1;Cumbre del Cerro Marahuaca, extremo SE alrededor de una laguna;2800;;Steyermark, J. & Delascio, F. 129127;1983-03-26;VEN;;;Morales & García 2006
Leucobryum giganteum;1;Cerro de La Neblina, NE end of NW plateau;1690;;Buck, W. 12918;1985-02-12;VEN;;;Morales & García 2006
Leucobryum giganteum;1;Cumbre del Cerro Marahuaca, sección noroccidental;2500;;Steyermark, J., Brewer, Ch. & Liesner, R. 124510;1981-02-16;VEN;;;Morales & García 2006
Leucobryum giganteum;4;Rancho Grande, Periquito;1400;;Mägdefrau, K. 318;1958-02-24;VEN;;;Morales & García 2006
Leucobryum giganteum;4;Parque Nacional Henri Pittier, Rancho Grande, fila de Paraíso;;;Agostini, G. & Cobo, T. 191;1963-09-01;VEN;;;Morales & García 2006
Leucobryum giganteum;5;La Gallineta, Caserío El Celoso;1700;;Dorr, L., Barnett, L. & Bakach, S. 5470;1988-06-07;VEN;;;Morales & García 2006
Leucobryum giganteum;5;Al NE del Alto de la Aguada;1400;1700;Dorr, L., Aymard, G., Barnett, L., Cuello, N. & Diggs, G. JR. 4871;1988-04-18;VEN;;;Morales & García 2006
Leucobryum giganteum;5;Perai-tepui;910;;Steyermark, J. 111411;1975-01-03;VEN;;;Morales & García 2006
