nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Oreoweisia tunariensis;22;Páramo El Jabón;;;;;;;;
Pilopogon guadalupensis;15;Entre El Morro y Aricagua, Páramo de Don Pedro;;;;;;;;
Pilopogon guadalupensis;;Sin localidad;;;;;;;;Churchill et al. 2000
Pilopogon guadalupensis;15;"Pico El Aguíla, Distr. MirandaTeleférico; Mucuy; La Aguada entre M";;;;;;;;
Pilopogon guadalupensis;15;Páramo La Negra por encima de Bailadores;;;;;;;;
Pilopogon guadalupensis;15;Río Capaz arriba de La Azulita;;;;;;;;
Pilopogon guadalupensis;15;Libertador, entre La Aguada y La Montaña;;;;;;;;
Pilopogon guadalupensis;15;Sierra Nevada, Teleférico;;;;;;;;
Pilopogon guadalupensis;15;"Mucuy; La Aguada entre M";;;;;;;;
Pilopogon laevis;15;Páramo de La Negra por encima de Bailadores;;;;;;;;
Pilopogon laevis;;Sin localidad;;;;;;;;Churchill et al. 2000
Pilopogon laevis;15;Sierra Nevada, entre La Aguada y La Montaña;;;;;;;;
Pilopogon laevis;15;S de Tovar, a lo largo de Canaguá;;;Luteyn, J. & Lebrón, M. 9957;1984-04-16;VEN;;;Morales & García 2006
Pilopogon longirostratus;15;Páramo de La Negra;;;Griffin et al. 2131 ;;FLAS;;;Griffin III 1975 
Pilopogon longirostratus;;Sin localidad;;;;;;;;Churchill et al. 2000
Pilopogon longirostratus;15;Entre Apartaderos y el Águila;4000;;Steyermark, J. & Rabe, M. 97153;1966-08-30;VEN;;;Morales & García 2006
Pilopogon longirostratus;15;Estación La Aguada, entre Mérida y Pico Espejo;3475;;"Steyermark, J. & Koyama, T. 102380; 102378";1969-12-17;VEN;;;Morales & García 2006
Pilopogon longirostratus;15;Río Capaz arriba de La Azulita;2100;2400;Steyermark, J. & Rabe, M. 97080;1966-09-01;VEN;;;Morales & García 2006
Pilopogon longirostratus;21;Río Quinimarí, vecindades de las Copas, al pie de la Peña de Pata de Judío, S de San Vicente de la Revancha;2400;;Steyermark, J., G.C.K. & E. Dunsterville 100580;1968-01-10;VEN;;;Morales & García 2006
Pilopogon longirostratus;22;Entre Trujillo y Boconó, entre Urbina y San Rafael;2300;2500;Steyermark, J. & Rabe, M 97302;1966-09-03;VEN;;;Morales & García 2006
Pilopogon macrocarpus;22;Páramo de la Canadá parte del Páramo de La Cristalina;;;;;;;;
Pilopogon macrocarpus;15;;;;Ruiz-Terán 9193;;FLAS;;;Griffin III 1975
Pilopogon peruvianus;15;Sierra Nevada, Teleférico al Pico Espejo, estacion Loma Redonda;;;;;;;;
Rhabdoweisia fugax;;Sin localidad;;;;;;;;Churchill et al. 2000
Rhabdoweisia fugax var. tenerrima;16;Ascenso a el Pico Naiguatá;;;;;;;;
Steyermarkiella anomalodictya;5;;;;;;;;;
